iter	Passed	Remaining
406	7001	10201
407	7029	10199
408	7044	10179
409	7060	10159
410	7076	10140
411	7088	10117
412	7120	10120
413	7151	10122
414	7189	10135
415	7224	10142
416	7243	10126
417	7259	10107
418	7271	10082
419	7306	10089
420	7322	10070
421	7340	10054
422	7355	10033
423	7375	10019
424	7393	10003
425	7422	10001
426	7440	9983
427	7456	9965
428	7474	9948
429	7487	9925
430	7503	9906
431	7524	9893
432	7560	9900
433	7573	9876
434	7593	9863
435	7610	9845
436	7624	9822
437	7638	9801
438	7658	9787
439	7690	9787
440	7735	9805
441	7750	9784
442	7764	9762
443	7790	9755
444	7805	9735
445	7827	9723
446	7862	9727
447	7894	9727
448	7907	9703
449	7920	9680
450	7967	9699
451	7978	9672
452	7988	9646
453	8009	9632
454	8046	9637
455	8083	9643
456	8120	9648
457	8134	9626
458	8145	9600
459	8182	9605
460	8200	9587
461	8217	9569
462	8234	9550
463	8268	9551
464	8289	9537
465	8316	9530
466	8327	9504
467	8345	9486
468	8360	9465
469	8371	9440
470	8388	9421
471	8407	9404
472	8423	9385
473	8441	9367
474	8471	9363
475	8488	9344
476	8514	9335
477	8534	9319
478	8546	9295
479	8572	9287
480	8585	9264
481	8601	9243
482	8624	9231
483	8635	9206
484	8646	9181
485	8675	9175
486	8686	9150
487	8697	9124
488	8717	9109
489	8734	9091
490	8745	9065
491	8759	9044
492	8784	9033
493	8805	9019
494	8830	9008
495	8844	8987
496	8855	8962
497	8867	8938
498	8879	8915
499	8902	8902
500	8960	8924
501	8988	8916
502	9015	8908
503	9044	8900
504	9059	8880
505	9075	8859
506	9094	8843
507	9108	8821
508	9120	8797
509	9130	8772
510	9149	8755
511	9163	8734
512	9174	8709
513	9193	8692
514	9206	8670
515	9217	8645
516	9240	8632
517	9257	8614
518	9273	8594
519	9285	8571
520	9298	8549
521	9311	8526
522	9339	8517
523	9356	8499
524	9386	8492
525	9401	8471
526	9423	8457
527	9452	8449
528	9466	8428
529	9477	8404
530	9499	8390
531	9514	8370
532	9557	8373
533	9580	8360
534	9598	8342
535	9625	8332
536	9640	8312
537	9664	8298
538	9689	8287
539	9729	8288
540	9747	8269
541	9762	8249
542	9779	8230
543	9795	8210
544	9807	8187
545	9821	8166
546	9836	8146
547	9847	8122
548	9863	8103
549	9941	8134
550	9952	8109
551	9973	8094
552	10005	8087
553	10018	8065
554	10042	8051
555	10095	8061
556	10105	8037
557	10133	8026
558	10146	8004
559	10157	7981
560	10182	7968
561	10194	7944
562	10210	7925
563	10230	7908
564	10258	7898
565	10280	7882
566	10296	7863
567	10317	7846
568	10329	7823
569	10353	7810
570	10373	7793
571	10386	7771
572	10403	7752
573	10415	7730
574	10430	7709
575	10447	7690
576	10462	7670
577	10474	7647
578	10491	7628
579	10505	7607
580	10515	7583
581	10532	7564
582	10548	7545
583	10559	7521
584	10576	7502
585	10590	7482
586	10611	7466
587	10636	7452
588	10668	7444
589	10682	7423
590	10699	7404
591	10716	7385
592	10729	7364
593	10744	7343
594	10757	7322
595	10769	7300
596	10794	7286
597	10812	7268
598	10828	7249
599	10860	7240
600	10887	7228
601	10906	7210
602	10918	7188
603	10930	7166
604	10958	7154
605	10998	7150
606	11043	7149
607	11062	7132
608	11080	7114
609	11095	7093
610	11109	7072
611	11127	7054
612	11149	7039
613	11165	7019
614	11189	7004
615	11206	6985
616	11217	6963
617	11236	6945
618	11250	6924
619	11263	6903
620	11283	6886
621	11303	6869
622	11323	6852
623	11335	6830
624	11361	6816
625	11373	6794
626	11384	6772
627	11411	6759
628	11421	6736
629	11433	6714
630	11450	6696
631	11461	6673
632	11480	6656
633	11502	6640
634	11524	6624
635	11535	6601
636	11553	6583
637	11599	6581
638	11624	6566
639	11647	6551
640	11676	6539
641	11695	6521
642	11719	6506
643	11737	6488
644	11759	6472
645	11771	6450
646	11784	6429
647	11803	6411
648	11823	6394
649	11840	6375
650	11868	6362
651	11892	6347
652	11907	6327
653	11928	6310
654	11964	6302
655	11976	6280
656	11987	6258
657	12010	6242
658	12032	6226
659	12077	6221
660	12104	6207
661	12127	6191
662	12161	6181
663	12178	6162
664	12193	6142
665	12252	6144
666	12263	6122
667	12286	6106
668	12302	6086
669	12325	6070
670	12344	6052
671	12356	6031
672	12378	6014
673	12400	5997
674	12424	5982
675	12458	5971
676	12473	5951
677	12485	5929
678	12497	5908
679	12513	5888
680	12546	5876
681	12583	5867
682	12604	5849
683	12618	5829
684	12634	5809
685	12647	5789
686	12664	5769
687	12683	5751
688	12696	5730
689	12720	5715
690	12744	5698
691	12761	5679
692	12790	5666
693	12826	5655
694	12839	5634
695	12852	5613
696	12897	5606
697	12912	5586
698	12925	5565
699	12991	5567
700	13006	5547
701	13027	5530
702	13045	5511
703	13056	5489
704	13074	5470
705	13086	5449
706	13097	5427
707	13129	5414
708	13157	5400
709	13170	5379
710	13206	5368
711	13221	5347
712	13231	5326
713	13251	5308
714	13262	5286
715	13275	5265
716	13303	5250
717	13361	5247
718	13381	5229
719	13394	5209
720	13443	5202
721	13455	5180
722	13468	5159
723	13535	5160
724	13549	5139
725	13568	5120
726	13583	5100
727	13595	5079
728	13610	5059
729	13624	5039
730	13636	5017
731	13646	4996
732	13663	4977
733	13679	4957
734	13697	4938
735	13716	4920
736	13733	4900
737	13750	4881
738	13766	4862
739	13788	4844
740	13799	4823
741	13851	4816
742	13885	4803
743	13900	4783
744	13948	4774
745	13966	4755
746	14009	4744
747	14041	4730
748	14059	4711
749	14081	4693
750	14095	4673
751	14106	4652
752	14159	4644
753	14176	4625
754	14189	4604
755	14209	4586
756	14225	4566
757	14239	4546
758	14259	4527
759	14279	4509
760	14297	4490
761	14314	4470
762	14339	4454
763	14351	4433
764	14364	4412
765	14381	4393
766	14393	4372
767	14407	4352
768	14434	4335
769	14462	4320
770	14488	4303
771	14507	4284
772	14520	4264
773	14533	4243
774	14547	4223
775	14565	4204
776	14580	4184
777	14597	4165
778	14612	4145
779	14639	4129
780	14655	4109
781	14674	4090
782	14691	4071
783	14708	4052
784	14724	4032
785	14737	4012
786	14754	3993
787	14768	3973
788	14780	3952
789	14798	3933
790	14814	3914
791	14826	3893
792	14848	3875
793	14878	3860
794	14908	3844
795	14921	3824
796	14941	3805
797	14953	3785
798	14968	3765
799	15015	3753
800	15027	3733
801	15039	3713
802	15071	3697
803	15104	3682
804	15137	3666
805	15150	3646
806	15173	3628
807	15195	3610
808	15211	3591
809	15225	3571
810	15241	3551
811	15263	3533
812	15276	3513
813	15297	3495
814	15316	3476
815	15327	3456
816	15348	3437
817	15399	3426
818	15411	3405
819	15432	3387
820	15447	3367
821	15460	3347
822	15476	3328
823	15487	3307
824	15498	3287
825	15515	3268
826	15531	3249
827	15543	3228
828	15557	3209
829	15570	3189
830	15585	3169
831	15596	3149
832	15609	3129
833	15623	3109
834	15636	3089
